METHOD,n,s_err,s_err2,s_abs,MAE,RMSE,BIAS,axis,season,MONTH,band,STN
fixed_lapse,8742,5974.889423912443,14435.299912405339,8278.014659866463,0.94692,1.28501,0.68347,station,,,,681
none,8742,4862.994379956587,13072.18053422837,7811.010314181512,0.8935,1.22284,0.55628,station,,,,681
fixed_lapse,8756,-10039.985329275758,86412.69581241124,21098.863151508358,2.40965,3.14149,-1.14664,station,,,,682
none,8756,35198.596153777944,216424.84266106205,38554.57966808995,4.40322,4.97165,4.01994,station,,,,682
fixed_lapse,8659,-780.5382878690018,6890.560155285337,5822.137504701358,0.67238,0.89206,-0.09014,station,,,,687
none,8659,-6919.715017260065,12347.521742204797,8438.460546925515,0.97453,1.19414,-0.79914,station,,,,687
fixed_lapse,8395,1324.5965598315993,3023.1510531811255,3786.2773399544603,0.45102,0.60009,0.15778,station,,,,688
none,8395,-2778.7148834304567,3737.243840520062,4435.375838800507,0.52834,0.66721,-0.331,station,,,,688
fixed_lapse,8746,1083.528974915348,4429.052600031164,4719.692721773947,0.53964,0.71162,0.12389,station,,,,689
none,8746,-2593.8305455983736,5038.6750956758415,5225.760795716745,0.5975,0.75902,-0.29657,station,,,,689
fixed_lapse,8760,2403.2977174612033,3524.9271234715334,4276.399833707211,0.48817,0.63434,0.27435,station,,,,690
none,8760,989.6840058842704,2983.0992491978823,3838.776079549816,0.43822,0.58356,0.11298,station,,,,690
fixed_lapse,8707,5888.76499791025,12299.992781533741,7924.787871709311,0.91016,1.18855,0.67633,station,,,,691
none,8707,-504.1311921295807,8345.099229328884,6905.476526894627,0.79309,0.979,-0.0579,station,,,,691
fixed_lapse,8534,4743.697381537998,10298.8144690127,7034.800432129439,0.82433,1.09854,0.55586,station,,,,692
none,8534,2989.842111454439,8706.23853118901,6455.318111940732,0.75642,1.01004,0.35034,station,,,,692
fixed_lapse,8755,-6426.215141448467,56083.790965995475,16467.119560877883,1.88088,2.53099,-0.73401,station,,,,694
none,8755,30441.45051199357,157223.7323885478,33350.015240603156,3.80925,4.23771,3.47704,station,,,,694
fixed_lapse,7753,-15501.032083212054,106034.20265443482,20897.359012778918,2.69539,3.69818,-1.99936,station,,,,695
none,7753,26189.599612970065,163374.0852402755,31518.475202845482,4.06533,4.59047,3.378,station,,,,695
fixed_lapse,8758,1778.9240772908388,14684.988108947764,8939.133829418455,1.02068,1.29489,0.20312,station,,,,696
none,8758,-14293.967103597679,37538.530825914175,15281.412870166889,1.74485,2.07031,-1.6321,station,,,,696
fixed_lapse,8645,-820.5313504755953,3533.682212993171,3957.379919372133,0.45777,0.63934,-0.09491,station,,,,698
none,8645,-638.0851960632481,3500.356389404392,3932.057988608173,0.45484,0.63632,-0.07381,station,,,,698
fixed_lapse,8705,37.03197491591719,3144.67131939186,3835.485590972425,0.44061,0.60104,0.00425,station,,,,699
none,8705,1341.5953882460071,3351.0442150916415,4012.33426729432,0.46092,0.62045,0.15412,station,,,,699
fixed_lapse,8743,433.2879129625361,8951.960439761491,6696.826879242858,0.76596,1.01188,0.04956,station,,,,701
none,8743,-15396.183928756602,36269.63231902637,15895.022563662103,1.81803,2.03677,-1.76097,station,,,,701
fixed_lapse,8621,650.5329927653718,4820.641960021887,4777.314793383829,0.55415,0.74778,0.07546,station,,,,702
none,8621,-1123.1920699601255,4918.394261964581,4862.0087204005395,0.56397,0.75532,-0.13029,station,,,,702
fixed_lapse,8736,-64.05502760532129,5139.050775409319,4874.8360835278145,0.55802,0.76698,-0.00733,station,,,,703
none,8736,139.54435533855232,5165.757997720631,4917.525833013731,0.5629,0.76897,0.01597,station,,,,703
fixed_lapse,8753,4528.17817972751,10851.164977477356,7379.464427316188,0.84308,1.11342,0.51733,station,,,,704
none,8753,4000.449517955697,10337.244488111763,7141.158026918593,0.81585,1.08674,0.45704,station,,,,704
fixed_lapse,8704,-1863.0266694917193,3782.823445609855,4284.361489748648,0.49223,0.65925,-0.21404,station,,,,706
none,8704,-5218.435939124028,6577.372398083745,6105.291135245327,0.70144,0.86929,-0.59954,station,,,,706
fixed_lapse,8756,-1805.7401427775028,3620.4832358165922,3913.7970415336426,0.44698,0.64303,-0.20623,station,,,,707
none,8756,-780.6695983632435,3318.036240902943,3818.340221098657,0.43608,0.61558,-0.08916,station,,,,707
fixed_lapse,8698,862.0143755572997,3406.7315675649293,4011.5418585131647,0.4612,0.62583,0.0991,station,,,,708
none,8698,-367.351237080026,3317.8422378360897,3858.2776018559084,0.44358,0.61762,-0.04223,station,,,,708
fixed_lapse,8750,2671.0768330169058,24142.96111804025,10678.98743824235,1.22046,1.66108,0.30527,station,,,,709
none,8750,-20979.276598059252,73638.2144045111,22898.146461575507,2.61693,2.901,-2.39763,station,,,,709
fixed_lapse,8657,4705.098945248297,5963.806952471461,5537.956822786629,0.63971,0.83,0.5435,station,,,,710
none,8657,1882.5246641733602,3815.563781234255,4120.244437311256,0.47594,0.66389,0.21746,station,,,,710
fixed_lapse,8755,6749.849224593416,10954.816014988657,7799.307757339328,0.89084,1.1186,0.77097,station,,,,711
none,8755,3284.775723144066,6998.886233612305,5896.264290922814,0.67347,0.8941,0.37519,station,,,,711
fixed_lapse,8732,1195.9918933499932,6327.931760535363,5468.042814986611,0.62621,0.85128,0.13697,station,,,,712
none,8732,-2475.039295915619,6877.792553830081,6186.966001611866,0.70854,0.8875,-0.28344,station,,,,712
fixed_lapse,8758,-2794.601190287715,6774.073082381787,6004.311968378282,0.68558,0.87947,-0.31909,station,,,,713
none,8758,-8144.894723492553,13465.284520470534,9189.271606286133,1.04924,1.23995,-0.92999,station,,,,713
fixed_lapse,8736,3042.5903416163596,7777.751138721125,5657.788263415083,0.64764,0.94356,0.34828,station,,,,714
none,8736,2611.323964362602,7498.6471394901055,5532.768663457863,0.63333,0.92648,0.29892,station,,,,714
fixed_lapse,8759,1151.5731872899285,4393.8787688131215,4749.253721643451,0.54221,0.70827,0.13147,station,,,,716
none,8759,856.8419229821536,4326.185765753723,4687.875117079159,0.53521,0.70279,0.09782,station,,,,716
fixed_lapse,8757,6506.263129873535,25236.897274508836,10359.755631546173,1.18303,1.69762,0.74298,station,,,,717
none,8757,-10962.693587018233,34249.232084210955,15214.695345049953,1.73743,1.97764,-1.25188,station,,,,717
fixed_lapse,8701,-1439.5017622796847,7832.843939010213,5665.667342065048,0.65115,0.9488,-0.16544,station,,,,718
none,8701,-1954.945526533086,8045.661523080081,5741.274292702634,0.65984,0.9616,-0.22468,station,,,,718
fixed_lapse,8756,495.5225727348706,4894.623194913572,4921.071497189342,0.56202,0.74766,0.05659,station,,,,719
none,8756,-231.25477391062287,4876.510130590034,4864.179912273549,0.55553,0.74628,-0.02641,station,,,,719
fixed_lapse,8710,-488.56074546595266,13645.705918860594,8062.844403757485,0.9257,1.25167,-0.05609,station,,,,720
none,8710,324.22621780459247,13630.37079122588,8019.029162261,0.92067,1.25096,0.03722,station,,,,720
fixed_lapse,8741,-1576.3282197221656,12274.460786223188,7804.331261759257,0.89284,1.18501,-0.18034,station,,,,721
none,8741,-3041.959676166377,13051.808486037133,8237.47653766365,0.9424,1.22195,-0.34801,station,,,,721
fixed_lapse,8703,-3093.1525848752262,5044.113467706317,4783.683304777145,0.54966,0.7613,-0.35541,station,,,,722
none,8703,-7605.198681668142,10595.007345110136,7880.640889419698,0.90551,1.10336,-0.87386,station,,,,722
fixed_lapse,8583,-2916.403305080949,14362.796532129,8009.264994667422,0.93315,1.2936,-0.33979,station,,,,725
none,8583,-6508.8205212325465,18309.70524750138,9313.787751937727,1.08514,1.46057,-0.75834,station,,,,725
fixed_lapse,8708,-5330.706414685773,12311.657944699871,8170.175124919795,0.93824,1.18905,-0.61216,station,,,,726
none,8708,-7554.156997251121,15636.356144614132,9472.019726233028,1.08774,1.34001,-0.8675,station,,,,726
fixed_lapse,8718,1572.1963794244048,9169.733720434779,6359.895680805719,0.72951,1.02558,0.18034,station,,,,727
none,8718,-6291.469164521921,12947.864841940502,8609.584187124126,0.98756,1.21868,-0.72166,station,,,,727
fixed_lapse,8754,2304.9465852535445,3909.6300460415337,4378.872754149478,0.50021,0.66829,0.2633,station,,,,730
none,8754,1159.6509567289097,3456.835956236114,4095.609851681797,0.46786,0.6284,0.13247,station,,,,730
fixed_lapse,8619,1264.838010438856,5859.978831496033,4943.462835742765,0.57355,0.82455,0.14675,station,,,,731
none,8619,-1366.726538743532,5889.351811432688,5049.430399249177,0.58585,0.82662,-0.15857,station,,,,731
fixed_lapse,8756,934.9971316474081,5654.742678759298,5086.776550978386,0.58095,0.80363,0.10678,station,,,,732
none,8756,5111.2404734654965,8538.176010043044,6871.4260354139915,0.78477,0.98748,0.58374,station,,,,732
fixed_lapse,8505,-3488.6041483891777,9214.63110347193,6282.727909211916,0.73871,1.04088,-0.41018,station,,,,733
none,8505,-1704.0664058820037,8123.751051272319,6008.855682872016,0.70651,0.97733,-0.20036,station,,,,733
fixed_lapse,8728,-267.47220405167576,8853.35506537822,6886.217893660711,0.78898,1.00716,-0.03065,station,,,,734
none,8728,-1665.848520075789,9168.211080297035,7055.0747506413045,0.80833,1.02491,-0.19086,station,,,,734
fixed_lapse,8758,5147.310105635209,29367.66313687426,11741.494922186681,1.34066,1.83119,0.58773,station,,,,735
none,8758,-24020.336910293,100530.00543802799,26938.943074998257,3.07592,3.38802,-2.74267,station,,,,735
fixed_lapse,8706,4192.878772490205,9203.573987855798,6570.175064260195,0.75467,1.02818,0.48161,station,,,,736
none,8706,2688.6983501479463,8012.473665164374,6098.810725710423,0.70053,0.95934,0.30883,station,,,,736
fixed_lapse,8756,-4464.770201202034,9441.101962428103,6348.834452090104,0.72508,1.03839,-0.50991,station,,,,737
none,8756,-2987.950412843671,8186.144152076929,5976.218036698865,0.68253,0.96691,-0.34125,station,,,,737
fixed_lapse,8751,1757.282068988684,7617.089916258939,5954.854619337066,0.68048,0.93297,0.20081,station,,,,738
none,8751,411.22250984598026,7281.710853971628,5832.545550621795,0.6665,0.9122,0.04699,station,,,,738
fixed_lapse,8717,-3002.2106317931657,6918.117682800494,5655.440480081604,0.64878,0.89086,-0.34441,station,,,,739
none,8717,-2932.0432918831143,6869.74099566597,5628.005977840891,0.64564,0.88774,-0.33636,station,,,,739
fixed_lapse,8747,821.6203171718895,7647.798434101883,6392.98004906581,0.73088,0.93506,0.09393,station,,,,741
none,8747,-8727.495715183233,16600.739465634008,10077.44652050599,1.1521,1.37763,-0.99777,station,,,,741
fixed_lapse,8760,-736.3426942197021,3010.7784411577195,3829.9918170561655,0.43721,0.58626,-0.08406,station,,,,742
none,8760,-1025.5585793363603,3068.666024128803,3861.331469615858,0.44079,0.59187,-0.11707,station,,,,742
fixed_lapse,8735,501.22042407662644,8072.1324327468365,5742.264969252568,0.65739,0.96131,0.05738,station,,,,743
none,8735,723.0675081211833,8103.465270495659,5752.10543001037,0.65851,0.96317,0.08278,station,,,,743
fixed_lapse,8759,-451.815092644919,4835.8795375656855,4781.686778557207,0.54592,0.74304,-0.05158,station,,,,744
none,8759,-3743.306178460987,6413.422113745544,5912.721443147932,0.67505,0.85569,-0.42737,station,,,,744
fixed_lapse,8755,1619.0238906324025,11394.328817136455,7014.796229235182,0.80123,1.14082,0.18493,station,,,,745
none,8755,1368.8943511415257,11308.450272124273,7007.101961037662,0.80035,1.13651,0.15636,station,,,,745
fixed_lapse,8752,-3090.741267132737,7885.891358926831,5853.596897752792,0.66883,0.94923,-0.35315,station,,,,746
none,8752,-6164.247554128251,11142.59105498639,7520.9529085907625,0.85934,1.12834,-0.70432,station,,,,746
fixed_lapse,8746,-1454.8931635356087,7321.7921263121525,5765.50284566293,0.65922,0.91496,-0.16635,station,,,,747
none,8746,-1180.3271536224888,7239.809160475563,5748.591643145957,0.65728,0.90983,-0.13496,station,,,,747
fixed_lapse,8759,-1002.5905731496513,5089.093938661243,4856.748263943022,0.55449,0.76224,-0.11446,station,,,,748
none,8759,-3745.882610125507,6583.984741608527,5568.135936156919,0.6357,0.867,-0.42766,station,,,,748
fixed_lapse,8759,-9630.647930883897,19406.34480588646,10267.275415692324,1.1722,1.48849,-1.09951,station,,,,749
none,8759,-10283.248024862918,20889.718211667878,10816.584012921205,1.23491,1.54433,-1.17402,station,,,,749
fixed_lapse,8758,-793.2900770240954,6385.031265298676,5536.933185876835,0.63221,0.85385,-0.09058,station,,,,750
none,8758,-2016.2419749030757,6775.918938788292,5676.257924436904,0.64812,0.87959,-0.23022,station,,,,750
fixed_lapse,8753,2959.0564701020435,4546.883885184941,4497.46765188526,0.51382,0.72074,0.33806,station,,,,751
none,8753,4770.586989807215,6351.577995003097,5748.958826066804,0.6568,0.85185,0.54502,station,,,,751
fixed_lapse,8759,500.17085117625754,4261.74050322316,4653.273066283948,0.53126,0.69754,0.0571,station,,,,752
none,8759,1222.913232816778,4001.72457287774,4520.718851331185,0.51612,0.67592,0.13962,station,,,,752
fixed_lapse,8737,9559.918769996275,43443.29793825095,13045.066444275482,1.49308,2.22987,1.09419,station,,,,753
none,8737,-12189.341543808678,50047.928907332345,18596.0633134443,2.12843,2.39338,-1.39514,station,,,,753
fixed_lapse,8726,1993.1946153898132,5027.096058302748,4683.149119263928,0.53669,0.75902,0.22842,station,,,,754
none,8726,798.4031724377384,4644.440063016328,4567.596940539823,0.52345,0.72956,0.0915,station,,,,754
fixed_lapse,8732,10996.32936389968,43654.46691947813,13941.906026426135,1.59665,2.23593,1.25931,station,,,,755
none,8732,5355.083191932103,33100.84736435764,12618.395396719232,1.44508,1.94699,0.61327,station,,,,755
fixed_lapse,8760,-1100.9578680481866,13448.592903169305,8061.940717802271,0.92031,1.23904,-0.12568,station,,,,756
none,8760,-1596.9063481131948,13594.470965398035,8086.161390059979,0.92308,1.24574,-0.1823,station,,,,756
fixed_lapse,8753,1850.8871750699825,8778.460183235424,6584.905322806585,0.7523,1.00145,0.21146,station,,,,757
none,8753,5562.552932964349,11925.88824690035,8136.88366493128,0.92961,1.16726,0.6355,station,,,,757
fixed_lapse,8759,6122.916003411149,24240.45767527645,10975.42993158114,1.25305,1.66358,0.69904,station,,,,758
none,8759,-9258.174459741289,30197.587833048136,13675.53232738537,1.56131,1.85677,-1.05699,station,,,,758
fixed_lapse,8746,5471.865355188821,19852.282300591654,10384.45455009444,1.18734,1.50661,0.62564,station,,,,759
none,8746,1710.3812744011823,16770.41596458364,9296.834124493176,1.06298,1.38474,0.19556,station,,,,759
fixed_lapse,8720,2971.737882046306,10070.807337003167,7127.192926865742,0.81734,1.07467,0.3408,station,,,,760
none,8720,14767.523927287288,34082.33575803393,15423.362429623568,1.76873,1.977,1.69352,station,,,,760
fixed_lapse,8759,545.4965673083223,5333.812570235707,5050.582648800142,0.57662,0.78035,0.06228,station,,,,761
none,8759,-5049.215005234144,8191.899031541362,6849.9307972423085,0.78204,0.96709,-0.57646,station,,,,761
fixed_lapse,8716,-1086.4479421093629,6112.2683880249415,5402.2065883715,0.6198,0.83742,-0.12465,station,,,,762
none,8716,-481.06280446714646,6095.332288676753,5451.493525692731,0.62546,0.83626,-0.05519,station,,,,762
fixed_lapse,8753,675.6356814935345,5465.444810132312,4821.489564320177,0.55084,0.7902,0.07719,station,,,,763
none,8753,1243.6702010973559,5590.601344421236,4912.8583948938585,0.56128,0.79919,0.14209,station,,,,763
fixed_lapse,8760,6069.983009630901,12980.180193866432,7687.907218579248,0.87761,1.21727,0.69292,station,,,,764
none,8760,12102.025795353238,25490.808485499343,12390.184257640278,1.4144,1.70585,1.38151,station,,,,764
fixed_lapse,8757,2071.678668870869,6840.925034098908,5656.53014961208,0.64594,0.88385,0.23657,station,,,,765
none,8757,473.0093764676011,6376.609362746624,5565.133326098083,0.63551,0.85333,0.05402,station,,,,765
fixed_lapse,8753,-9619.59457146279,33226.23241280042,13117.782410729793,1.49866,1.94833,-1.09901,station,,,,766
none,8753,-6036.302824895732,26818.414418430835,11946.650101933506,1.36486,1.7504,-0.68963,station,,,,766
fixed_lapse,8753,5054.223462854383,13875.492271208494,7799.790337595536,0.8911,1.25906,0.57743,station,,,,767
none,8753,956.5747342869133,11060.450613980896,7347.542334121628,0.83943,1.12411,0.10929,station,,,,767
fixed_lapse,8759,1225.0513755001634,4971.439994663789,4983.446624154925,0.56895,0.75338,0.13986,station,,,,768
none,8759,-5296.797958134447,8012.651809397665,6723.370375578621,0.7676,0.95645,-0.60473,station,,,,768
fixed_lapse,8751,1719.4240901254138,7874.425361612431,5928.984307618611,0.67752,0.94859,0.19648,station,,,,769
none,8751,209.81834819661842,7537.889706013677,5805.973894553738,0.66346,0.9281,0.02398,station,,,,769
fixed_lapse,8759,-4687.322507458491,8529.954840775523,6185.302072130465,0.70617,0.98684,-0.53514,station,,,,770
none,8759,-1883.338195472329,6424.30503407023,5093.046652569192,0.58146,0.85642,-0.21502,station,,,,770
fixed_lapse,8754,5073.304857990832,11622.628869224183,6807.8322315914465,0.77768,1.15226,0.57954,station,,,,771
none,8754,4895.607000281566,11419.9903329898,6710.472565277241,0.76656,1.14217,0.55924,station,,,,771
fixed_lapse,8686,1727.819282115341,11199.594400543767,7587.238190575295,0.8735,1.13551,0.19892,station,,,,772
none,8686,-6084.195529600474,15122.238393055699,9601.563222381432,1.10541,1.31947,-0.70046,station,,,,772
fixed_lapse,8613,-2457.6893420087326,14686.613764716027,7903.0985217739,0.91758,1.30582,-0.28535,station,,,,773
none,8613,-393.21782366076553,13999.344356104546,7980.8244890875285,0.9266,1.2749,-0.04565,station,,,,773
fixed_lapse,8733,322.5703837747568,4600.6442356130665,4598.472986295555,0.52656,0.72582,0.03694,station,,,,774
none,8733,-325.0508579827956,4600.82320491665,4626.951738422388,0.52982,0.72583,-0.03722,station,,,,774
fixed_lapse,8747,3972.341390028565,6189.176916512543,5467.343162122476,0.62505,0.84118,0.45414,station,,,,775
none,8747,2820.3568128177603,5295.041667123291,4949.656922585618,0.56587,0.77805,0.32244,station,,,,775
fixed_lapse,8760,5513.42903315528,13746.081964581543,7960.430033521554,0.90872,1.25267,0.62939,station,,,,776
none,8760,3682.1846731431087,11820.442318996664,7290.516945611134,0.83225,1.16162,0.42034,station,,,,776
fixed_lapse,8480,2670.899996700771,11625.351759100766,7571.537157696916,0.89287,1.17086,0.31496,station,,,,777
none,8480,2134.013708929206,11321.968508822278,7460.494745187853,0.87978,1.15548,0.25165,station,,,,777
fixed_lapse,8755,6692.9369079063,16074.403824290825,8797.047530426182,1.0048,1.355,0.76447,station,,,,778
none,8755,9166.922548763283,20559.117122682186,10384.149950213412,1.18608,1.53241,1.04705,station,,,,778
fixed_lapse,8734,-2074.0693513254296,6922.8943800234665,6025.12956392123,0.68985,0.8903,-0.23747,station,,,,779
none,8734,-11314.686708319892,21151.514922810842,12201.15999336145,1.39697,1.5562,-1.29548,station,,,,779
fixed_lapse,8750,-10612.102161663608,30124.075337744987,13706.447157626011,1.56645,1.85547,-1.21281,station,,,,780
none,8750,-40162.65113740352,202891.24100055284,40191.95154980686,4.59337,4.81535,-4.59002,station,,,,780
fixed_lapse,8733,-2819.1433611556117,6061.371596780716,5589.128062656415,0.64,0.83311,-0.32281,station,,,,781
none,8733,-7811.974775135872,12218.0722761263,8863.594735151779,1.01495,1.18282,-0.89454,station,,,,781
fixed_lapse,8693,4094.3940306635504,13570.422648805212,8051.394964735538,0.92619,1.24943,0.471,station,,,,782
none,8693,-11119.990875811636,25963.043313983093,12776.867433649208,1.46979,1.7282,-1.27919,station,,,,782
fixed_lapse,8756,-931.2021517085893,3829.7145149134,4409.608966447764,0.50361,0.66135,-0.10635,station,,,,783
none,8756,-4675.321632405191,6215.531125976533,5924.63483459787,0.67664,0.84253,-0.53396,station,,,,783
fixed_lapse,8753,-1650.9697228352577,3651.666418668315,4163.869859361267,0.47571,0.6459,-0.18862,station,,,,784
none,8753,-2131.1168231455936,3855.606784254895,4307.581560820373,0.49213,0.66369,-0.24347,station,,,,784
fixed_lapse,8757,-2116.4924077238456,7289.9637629963545,5637.549900138062,0.64378,0.9124,-0.24169,station,,,,785
none,8757,-3011.570529859269,7814.954624499804,5954.7791291469875,0.68,0.94468,-0.3439,station,,,,785
fixed_lapse,8757,2369.488203160875,9329.792216973143,6305.527680483652,0.72006,1.03219,0.27058,station,,,,786
none,8757,1785.956059915769,9053.02351390397,6202.633239046242,0.70831,1.01676,0.20395,station,,,,786
fixed_lapse,8738,5544.484174805107,18340.034523762795,8693.001178204806,0.99485,1.44875,0.63453,station,,,,787
none,8738,3357.013963553327,16111.634201815868,8121.64904602223,0.92946,1.35789,0.38419,station,,,,787
fixed_lapse,8727,645.6140340691219,2608.4188770806,3514.0953475907463,0.40267,0.54671,0.07398,station,,,,788
none,8727,-2730.504409720298,3425.1230468813533,4062.8160678936783,0.46555,0.62648,-0.31288,station,,,,788
fixed_lapse,8760,39.091160436329744,3825.064053394762,4328.128459621398,0.49408,0.6608,0.00446,station,,,,789
none,8760,-265.3682438651225,3833.1344483684206,4332.146679940257,0.49454,0.66149,-0.03029,station,,,,789
fixed_lapse,8737,-8136.722468426095,32858.69668289367,11724.026983521102,1.34188,1.9393,-0.93129,station,,,,790
none,8737,-943.8000074231519,25382.96198286183,11042.286777678686,1.26385,1.70447,-0.10802,station,,,,790
fixed_lapse,8735,-2711.3535010799665,11441.331153017712,7478.581862526754,0.85616,1.14448,-0.3104,station,,,,791
none,8735,-2587.6687120087317,11377.47319708305,7459.419688591521,0.85397,1.14128,-0.29624,station,,,,791
fixed_lapse,8726,-1944.6756251511226,5828.759466336493,5341.086262364489,0.61209,0.8173,-0.22286,station,,,,792
none,8726,-9352.499219459827,15458.386709611752,10355.079301980766,1.18669,1.33099,-1.0718,station,,,,792
fixed_lapse,8674,4406.796711626099,7907.991439530498,6353.415236607578,0.73247,0.95482,0.50805,station,,,,793
none,8674,-1603.8043028528184,6083.115896082122,5379.172323299639,0.62015,0.83744,-0.1849,station,,,,793
fixed_lapse,8760,8467.092732496847,21764.59088263471,10415.09721650726,1.18894,1.57624,0.96656,station,,,,794
none,8760,713.9539172395127,13642.03345186702,8694.929002007986,0.99257,1.24792,0.0815,station,,,,794
fixed_lapse,8756,918.5036565313452,3135.773430993874,3813.1125891202737,0.43549,0.59844,0.1049,station,,,,795
none,8756,-1999.6759584750062,3494.5525455627326,4208.583767643535,0.48065,0.63175,-0.22838,station,,,,795
fixed_lapse,8731,628.9147419928809,13231.462351348393,7573.352348994947,0.86741,1.23104,0.07203,station,,,,799
none,8731,394.80173219917043,13077.187348954398,7533.431202377078,0.86284,1.22384,0.04522,station,,,,799
fixed_lapse,8736,-1649.002242211719,26789.351545758847,11325.392904814824,1.2964,1.75116,-0.18876,station,,,,800
none,8736,-12027.278450326334,43036.62930753369,16818.837534277453,1.92523,2.21954,-1.37675,station,,,,800
fixed_lapse,8754,460.0551762134614,8012.989055980569,5990.253571456699,0.68429,0.95674,0.05255,station,,,,801
none,8754,-435.7462547814049,8012.485091357235,6041.702179758748,0.69016,0.95671,-0.04978,station,,,,801
fixed_lapse,8752,-335.0343858261946,16156.58514040004,7663.864763619961,0.87567,1.35869,-0.03828,station,,,,802
none,8752,-2578.014800522569,16906.723674574372,7525.155400872594,0.85982,1.38988,-0.29456,station,,,,802
fixed_lapse,8760,-2642.261241659811,5475.844388518356,4987.198804761638,0.56931,0.79063,-0.30163,station,,,,803
none,8760,196.07100212137993,4688.0869431074325,4598.579457562082,0.52495,0.73155,0.02238,station,,,,803
fixed_lapse,8759,-1564.0549297117352,16651.312424086274,8698.073744206771,0.99304,1.37879,-0.17857,station,,,,804
none,8759,-4908.4021307682715,19119.865093768574,9344.826276531747,1.06688,1.47746,-0.56038,station,,,,804
fixed_lapse,8753,3829.5168498445396,10697.221156632999,7114.240041246316,0.81278,1.1055,0.43751,station,,,,805
none,8753,8794.84765814159,17864.64446877416,10048.894997687019,1.14805,1.42863,1.00478,station,,,,805
fixed_lapse,8759,-1101.6426314160465,5850.6222537192825,5386.150816395249,0.61493,0.81729,-0.12577,station,,,,806
none,8759,-3079.088828264781,6794.798885157447,5827.778782514174,0.66535,0.88077,-0.35153,station,,,,806
fixed_lapse,8757,8261.952474006972,19676.704040067878,9598.55854465385,1.0961,1.49899,0.94347,station,,,,807
none,8757,3617.704981129388,13378.189278742126,7955.381324152619,0.90846,1.23601,0.41312,station,,,,807
fixed_lapse,8737,-6135.504049392695,20042.900311454272,9670.609121514017,1.10686,1.5146,-0.70224,station,,,,808
none,8737,-8166.439003291645,23367.41857337128,10816.516900719587,1.23801,1.6354,-0.9347,station,,,,808
fixed_lapse,8736,6193.179812926198,22614.259670318803,11236.167914927286,1.28619,1.60892,0.70893,station,,,,809
none,8736,-13816.192133171484,40257.80376990766,15772.858076719262,1.8055,2.14669,-1.58152,station,,,,809
fixed_lapse,8732,1859.2931298854705,7745.96245010124,6071.0970371631465,0.69527,0.94185,0.21293,station,,,,810
none,8732,-925.4456259981393,7498.021148205315,6134.809841603735,0.70257,0.92665,-0.10598,station,,,,810
fixed_lapse,8758,-1374.9337852516148,13160.921691438285,8246.965548262853,0.94165,1.22586,-0.15699,station,,,,811
none,8758,-9874.810549189087,24082.172606780754,12560.90841186029,1.43422,1.65823,-1.12752,station,,,,811
fixed_lapse,8737,7062.144464413319,15287.730369317589,8750.810751469144,1.00158,1.32279,0.8083,station,,,,812
none,8737,4047.098549467071,11449.73782884054,7434.225402926634,0.85089,1.14477,0.46321,station,,,,812
fixed_lapse,8760,4324.426193333175,9045.626885721225,6508.9114438092065,0.74303,1.01617,0.49366,station,,,,813
none,8760,3459.0299883382336,8278.672536358703,6185.970631532648,0.70616,0.97214,0.39487,station,,,,813
fixed_lapse,8755,-2443.393588910739,12586.415972309143,6951.41537433214,0.79399,1.19901,-0.27909,station,,,,814
none,8755,1110.4230013655927,12043.667801560554,7378.823478183552,0.84281,1.17287,0.12683,station,,,,814
fixed_lapse,8755,-3026.3965547089165,6809.459734709302,5839.485020607022,0.66699,0.88192,-0.34568,station,,,,815
none,8755,-5438.252408165302,9144.082473780174,7098.7429383262,0.81082,1.02198,-0.62116,station,,,,815
fixed_lapse,8754,2582.6583164078897,12079.563021285181,7052.63766330142,0.80565,1.17469,0.29503,station,,,,816
none,8754,3321.68296419201,12578.331760817908,7236.46914676175,0.82665,1.19869,0.37945,station,,,,816
fixed_lapse,8760,3582.8777266669395,20787.683067289163,9745.725188185212,1.11253,1.54046,0.409,station,,,,817
none,8760,16798.22555798341,51531.32798514748,18101.084016928482,2.06633,2.4254,1.91761,station,,,,817
fixed_lapse,8749,1110.873144583183,6978.876023862348,5565.095463409256,0.63608,0.89313,0.12697,station,,,,818
none,8749,-1415.5127073246183,7019.8382003643355,5635.602407666587,0.64414,0.89574,-0.16179,station,,,,818
fixed_lapse,8760,1011.7476281746526,10108.174601216817,7050.437040580595,0.80484,1.0742,0.1155,station,,,,819
none,8760,3509.0827206085432,11400.485722899371,7480.059269367827,0.85389,1.1408,0.40058,station,,,,819
fixed_lapse,8759,4073.523806490081,7787.029880844693,6424.495505617806,0.73347,0.94288,0.46507,station,,,,820
none,8759,3359.398861367883,7179.906553867762,6115.697521298612,0.69822,0.90538,0.38354,station,,,,820
fixed_lapse,8729,1688.1680076803657,10249.308998669752,7335.357748363386,0.84034,1.08359,0.1934,station,,,,821
none,8729,-3501.8783010931447,11330.157971523695,8014.004824227551,0.91809,1.13929,-0.40118,station,,,,821
fixed_lapse,8728,-222.92576146421038,9839.808268307625,7157.955699351076,0.82011,1.06178,-0.02554,station,,,,822
none,8728,167.53076734281638,9827.119723315487,7153.415360671905,0.81959,1.0611,0.01919,station,,,,822
fixed_lapse,8698,-1999.395911419614,4021.341060170814,4256.282379997878,0.48934,0.67995,-0.22987,station,,,,823
