METHOD,n,s_err,s_err2,s_abs,MAE,RMSE,BIAS,axis,season,MONTH,band,STN
none,8726,11398.445904975571,29556.68085262121,12571.45435108809,1.44069,1.84043,1.30626,station,,,,599
fixed_lapse,8722,57.53055649319797,7646.271514724368,6254.837476593767,0.71713,0.9363,0.0066,station,,,,600
none,8722,1245.440595387569,7817.6676251972785,6443.298446909175,0.73874,0.94674,0.14279,station,,,,600
fixed_lapse,8742,1750.9314768496383,9700.45913914693,6947.312138184992,0.79471,1.05339,0.20029,station,,,,601
none,8742,-2892.213604772339,10302.511919315048,7597.920199438271,0.86913,1.08559,-0.33084,station,,,,601
fixed_lapse,8675,-1614.6364651997123,7164.297859177494,6336.6070514693065,0.73044,0.90877,-0.18613,station,,,,602
none,8675,-1107.7012567606891,6020.419667496329,5633.607976544361,0.64941,0.83306,-0.12769,station,,,,602
fixed_lapse,8756,2657.931260064701,6028.0265845461245,5393.287244656312,0.61595,0.82973,0.30356,station,,,,603
none,8756,1049.2224081885527,5436.450694460851,5200.474177369424,0.59393,0.78796,0.11983,station,,,,603
fixed_lapse,8668,-3454.0431760385845,6434.017749341198,5561.057998558481,0.64156,0.86155,-0.39848,station,,,,604
none,8668,-3377.0194665250306,6374.529194137159,5524.243269061542,0.63731,0.85756,-0.3896,station,,,,604
fixed_lapse,8707,145.8382398310042,5700.5802293932975,5033.440993264445,0.57809,0.80914,0.01675,station,,,,605
none,8707,-999.2747446212313,5831.585203944217,5140.545068267526,0.59039,0.81839,-0.11477,station,,,,605
fixed_lapse,8737,-2986.6104661217196,10281.227192158638,7084.4240541383815,0.81085,1.08478,-0.34183,station,,,,606
none,8737,-3595.4153299061772,10732.1624941407,7304.781900990357,0.83607,1.10831,-0.41152,station,,,,606
fixed_lapse,7905,338.77781195659657,8209.662835582387,5829.6199080410715,0.73746,1.01909,0.04286,station,,,,607
none,7905,-1040.541487915546,8330.24221462238,6021.917003336941,0.76179,1.02654,-0.13163,station,,,,607
fixed_lapse,8760,1513.617296891927,4878.172657832494,4706.845522436379,0.53731,0.74624,0.17279,station,,,,609
none,8760,2887.279641048082,5574.9184254808815,5324.9153846752115,0.60787,0.79775,0.3296,station,,,,609
fixed_lapse,8709,-6921.923834440514,16675.86289365832,8933.673570131527,1.0258,1.38376,-0.7948,station,,,,610
none,8709,-10044.154905852778,22771.73077803251,11039.172617990118,1.26756,1.61701,-1.15331,station,,,,610
fixed_lapse,8736,5071.601652927307,7318.669439105976,6167.895373744794,0.70603,0.91529,0.58054,station,,,,611
none,8736,2966.277644892894,5410.6039610599,5141.70861765788,0.58857,0.78699,0.33955,station,,,,611
fixed_lapse,8759,1825.9212182561248,3740.161795812513,4434.141904356112,0.50624,0.65346,0.20846,station,,,,612
none,8759,-4111.297413873022,5294.307000164994,5402.345935754976,0.61678,0.77746,-0.46938,station,,,,612
fixed_lapse,8749,5237.828887196584,8430.569272159079,6581.535303565326,0.75226,0.98163,0.59868,station,,,,614
none,8749,4935.0632515134985,8081.797880488122,6395.587512514146,0.73101,0.96111,0.56407,station,,,,614
fixed_lapse,8586,-73.72790923035154,5989.281186968944,5487.318222742836,0.6391,0.8352,-0.00859,station,,,,615
none,8586,-6884.903797265074,11515.714279193224,8405.040250205911,0.97892,1.15811,-0.80188,station,,,,615
fixed_lapse,8720,1927.0241823870433,13458.007389078326,8273.920294943062,0.94884,1.24232,0.22099,station,,,,616
none,8720,-3084.897042078591,14056.555445646809,8796.496688451463,1.00877,1.26964,-0.35377,station,,,,616
fixed_lapse,8749,3494.8657927069376,11971.917772732293,7110.313783434199,0.8127,1.16978,0.39946,station,,,,617
none,8749,3069.311255782349,11678.020487102678,7038.738288575536,0.80452,1.15533,0.35082,station,,,,617
fixed_lapse,8735,1888.6922551809027,8121.47902242596,6480.949546443931,0.74195,0.96424,0.21622,station,,,,618
none,8735,5573.719216483977,11278.665386320205,8186.3406227718015,0.93719,1.13631,0.63809,station,,,,618
fixed_lapse,8741,59.261441450279406,2774.391954145697,3631.6746115461115,0.41548,0.56338,0.00678,station,,,,619
none,8741,1032.1008985683638,2893.1988990978134,3721.0769505089747,0.4257,0.57532,0.11808,station,,,,619
fixed_lapse,8760,2269.5180625188973,4993.753568302922,4822.832475462671,0.55055,0.75503,0.25908,station,,,,620
none,8760,-2617.0237295442575,5187.355571221581,5258.133254464576,0.60024,0.76952,-0.29875,station,,,,620
fixed_lapse,8752,402.9669665229257,5609.155823965332,5316.445516628642,0.60745,0.80056,0.04604,station,,,,621
none,8752,-4221.90757075309,7629.980392915569,6516.307712891308,0.74455,0.9337,-0.48239,station,,,,621
fixed_lapse,8759,3540.1981225421428,9547.970080597204,6660.397090862395,0.76041,1.04407,0.40418,station,,,,622
none,8759,5475.525281568762,11610.400652909011,7558.74742858696,0.86297,1.15132,0.62513,station,,,,622
fixed_lapse,8755,-1235.0020837905417,4996.678167106486,4843.114251192435,0.55318,0.75546,-0.14106,station,,,,623
none,8755,-2971.38996072922,5708.271786422079,5208.192630611431,0.59488,0.80747,-0.33939,station,,,,623
fixed_lapse,8757,5296.807418318919,8736.186371781983,6756.319446316028,0.77153,0.99881,0.60487,station,,,,624
none,8757,10686.512390145885,18576.379665895405,11025.588754633496,1.25906,1.45647,1.22034,station,,,,624
fixed_lapse,8748,1639.406646648603,7966.935443484966,6085.371718357889,0.69563,0.95431,0.1874,station,,,,625
none,8748,7946.905377586556,14869.336182604175,9365.791261966673,1.07062,1.30374,0.90843,station,,,,625
fixed_lapse,8724,6628.889758265207,25292.101797331725,10906.053235225463,1.25012,1.70269,0.75985,station,,,,626
none,8724,-2831.1400077105955,21182.61232128609,11471.509435224343,1.31494,1.55823,-0.32452,station,,,,626
fixed_lapse,8146,-4145.293305438181,31943.301486919707,11731.332387782439,1.44013,1.98024,-0.50887,station,,,,627
none,8146,-5878.08445595871,33794.2563046036,12211.636183538378,1.4991,2.0368,-0.72159,station,,,,627
fixed_lapse,8672,-1555.2049677454636,4831.188476249396,4947.579282403311,0.57052,0.74639,-0.17934,station,,,,628
none,8672,-6193.2111842530485,8979.539454367898,7361.031565804819,0.84883,1.01758,-0.71416,station,,,,628
fixed_lapse,8746,2823.040309931004,7550.23765057753,6215.706326738256,0.71069,0.92913,0.32278,station,,,,629
none,8746,4448.623764764339,8904.006518003724,6809.075763547795,0.77854,1.00899,0.50865,station,,,,629
fixed_lapse,8758,755.6778207470678,3291.9068061043245,3844.055108469058,0.43892,0.61309,0.08628,station,,,,630
none,8758,889.0335232537994,3311.0087410471156,3861.650517670185,0.44093,0.61486,0.10151,station,,,,630
fixed_lapse,8732,-864.2810652004156,12388.177361944048,7294.549625735717,0.83538,1.1911,-0.09898,station,,,,631
none,8732,-1027.7854605416564,12422.378179898567,7310.124300764301,0.83716,1.19274,-0.1177,station,,,,631
fixed_lapse,8642,-1000.503908239592,6306.428658460308,5550.835993450981,0.64231,0.85425,-0.11577,station,,,,632
none,8642,-1036.4930996228886,6317.3052425626265,5556.962175068617,0.64302,0.85499,-0.11994,station,,,,632
fixed_lapse,8732,3252.2939403356977,6690.076589734201,5858.596709962591,0.67093,0.8753,0.37246,station,,,,633
none,8732,2966.03424770851,6487.210501852404,5744.18726311841,0.65783,0.86193,0.33967,station,,,,633
fixed_lapse,8751,-1147.8494826044027,5525.3964498924925,5187.121185841183,0.59275,0.79461,-0.13117,station,,,,634
none,8751,-1344.5986111572,5580.547180670961,5202.3300129536565,0.59448,0.79856,-0.15365,station,,,,634
fixed_lapse,8751,2266.827869133148,6837.289187998157,5800.249262243789,0.66281,0.88392,0.25904,station,,,,635
none,8751,1080.5836500717508,6377.203284835017,5649.413790135803,0.64557,0.85366,0.12348,station,,,,635
fixed_lapse,7856,9253.131212271253,57597.65443768493,14919.48909971912,1.89912,2.70771,1.17784,station,,,,636
none,7856,-11322.559606542367,63046.75714387966,19840.875874095098,2.52557,2.8329,-1.44126,station,,,,636
fixed_lapse,8757,1558.7889237908873,6461.401888870165,5752.0276434884645,0.65685,0.85899,0.178,station,,,,637
none,8757,-662.7051947964786,6234.759984187938,5725.921338463864,0.65387,0.84379,-0.07568,station,,,,637
fixed_lapse,8746,992.4636566464036,6901.250648768933,5857.766158606798,0.66977,0.8883,0.11348,station,,,,638
none,8746,8.913597840152306,6790.605144402581,5704.1351139902745,0.6522,0.88115,0.00102,station,,,,638
fixed_lapse,8759,986.3146669067403,6290.510701565526,5506.894439217634,0.62871,0.84745,0.11261,station,,,,639
none,8759,6639.414164049171,11219.024429053617,8332.832192811755,0.95135,1.13175,0.75801,station,,,,639
fixed_lapse,8760,4086.3911261339454,9990.26852762834,6841.621741404705,0.78101,1.06791,0.46648,station,,,,640
none,8760,4467.237974103637,10490.442063721106,7047.046498034456,0.80446,1.09432,0.50996,station,,,,640
fixed_lapse,8758,3391.4167887317026,8150.757894973527,6252.096917085175,0.71387,0.96471,0.38724,station,,,,641
none,8758,1570.6743109011372,7127.405726891557,6025.02115138852,0.68794,0.90212,0.17934,station,,,,641
fixed_lapse,8758,2093.049105036142,4767.743191377542,5190.297241070273,0.59263,0.73783,0.23899,station,,,,642
none,8758,5136.61103639874,7282.6629661254365,6789.792926415386,0.77527,0.91189,0.58651,station,,,,642
fixed_lapse,8757,4860.899324493597,9696.501422310801,6746.182136162564,0.77038,1.05228,0.55509,station,,,,643
none,8757,2718.8972177569085,7835.897514961575,6145.069337890034,0.70173,0.94595,0.31048,station,,,,643
fixed_lapse,8757,1645.8475179442128,3003.4428914250725,3932.5615703816084,0.44908,0.58564,0.18795,station,,,,644
none,8757,-591.2142705261124,2742.9083587064574,3544.151408905034,0.40472,0.55966,-0.06751,station,,,,644
fixed_lapse,8759,9467.545049567412,33841.81201842691,12066.08529691041,1.37756,1.96562,1.08089,station,,,,645
none,8759,1976.359605612052,24200.34962470007,11002.337531266294,1.25612,1.6622,0.22564,station,,,,645
fixed_lapse,8667,2881.5795628728683,11898.229068581153,7610.516684618887,0.8781,1.17167,0.33248,station,,,,646
none,8667,2124.459169860552,11463.673991711696,7522.588174899035,0.86796,1.15008,0.24512,station,,,,646
fixed_lapse,8707,3378.419270279905,7341.0085594523325,5681.55539812039,0.65253,0.91821,0.38801,station,,,,647
none,8707,-2767.94250652866,6860.059504810598,6016.095622424707,0.69095,0.88763,-0.3179,station,,,,647
fixed_lapse,8679,2102.8526783734364,6866.753363800208,5993.247148179776,0.69055,0.88949,0.24229,station,,,,648
none,8679,2317.0049098744075,6897.708620252531,6006.311913756914,0.69205,0.89149,0.26697,station,,,,648
fixed_lapse,8513,3195.43040959134,15439.559631118575,8725.915966873974,1.02501,1.34672,0.37536,station,,,,649
none,8513,3235.658887735642,15463.91461240868,8720.930968995024,1.02443,1.34778,0.38008,station,,,,649
fixed_lapse,8754,-893.6658054396594,3836.205018850391,4191.897567701856,0.47886,0.66198,-0.10209,station,,,,650
none,8754,-2257.02819889241,4375.908673164802,4723.768607165391,0.53961,0.70702,-0.25783,station,,,,650
fixed_lapse,8755,658.5099705914112,5582.719448279274,5149.163811229868,0.58814,0.79854,0.07522,station,,,,651
none,8755,2036.2131157299264,6013.590858211528,5478.783052624532,0.62579,0.82878,0.23258,station,,,,651
fixed_lapse,8675,844.1435325986872,3583.0336566597516,4198.9843541283135,0.48403,0.64267,0.09731,station,,,,652
none,8675,-1610.6085583084587,3794.6551262802386,4291.479844616399,0.4947,0.66138,-0.18566,station,,,,652
fixed_lapse,8757,2770.630780759234,9681.180566908159,6700.001660544829,0.7651,1.05144,0.31639,station,,,,654
none,8757,2006.9193323734307,9265.371754494474,6507.70455959805,0.74314,1.02862,0.22918,station,,,,654
fixed_lapse,8747,-2450.913764476366,12315.100830303189,7546.38702638849,0.86274,1.18656,-0.2802,station,,,,656
none,8747,-1611.613926941938,11925.841698833776,7512.618429056122,0.85888,1.16766,-0.18425,station,,,,656
fixed_lapse,8759,-4295.999271987036,9213.107463327726,6632.072086584505,0.75717,1.02559,-0.49047,station,,,,657
none,8759,-4140.141571399484,9065.116561721068,6565.52888761807,0.74958,1.01732,-0.47267,station,,,,657
fixed_lapse,8560,4499.841384068217,17683.705870217138,8623.362914156714,1.0074,1.43731,0.52568,station,,,,658
none,8560,3570.5561888153507,16768.924676542665,8446.73849209445,0.98677,1.39964,0.41712,station,,,,658
fixed_lapse,8754,-11768.495216803492,97105.50975926484,20931.02651893809,2.39102,3.33057,-1.34436,station,,,,659
none,8754,29876.92132591624,183495.07574116232,35908.83227527477,4.10199,4.57835,3.41295,station,,,,659
fixed_lapse,8759,4988.373835643262,8642.477280147077,6375.25998416502,0.72785,0.99333,0.56951,station,,,,660
none,8759,5026.877368763718,8707.172642864341,6398.89340421727,0.73055,0.99704,0.57391,station,,,,660
fixed_lapse,8645,3759.522287575339,12722.065746659193,7266.829933965981,0.84058,1.2131,0.43488,station,,,,661
none,8645,-1705.7004154296576,12538.907192839022,7601.292273112996,0.87927,1.20434,-0.1973,station,,,,661
fixed_lapse,8658,-1353.952884427871,5782.470947314626,5443.483043462746,0.62872,0.81724,-0.15638,station,,,,662
none,8658,-2096.017498930409,6072.043282755297,5596.1505043158895,0.64636,0.83745,-0.24209,station,,,,662
fixed_lapse,8718,-3576.924503810074,9859.60712494138,7054.78689613934,0.80922,1.06346,-0.41029,station,,,,664
none,8718,-3757.51974001671,10020.073577399267,7140.129907517974,0.81901,1.07208,-0.43101,station,,,,664
fixed_lapse,8718,-442.9782355497758,5079.707651060986,5074.5141021187155,0.58207,0.76333,-0.05081,station,,,,665
none,8718,-1722.2977301582694,5396.65223256271,5249.467994947023,0.60214,0.78678,-0.19756,station,,,,665
fixed_lapse,7315,547.9377590521945,9113.41535602549,6076.900647762217,0.83075,1.11618,0.07491,station,,,,666
none,7315,906.8166093370905,9159.36240354534,6081.862281651916,0.83142,1.11899,0.12397,station,,,,666
fixed_lapse,7641,-2781.7604702435133,15301.702844556863,7961.67997409873,1.04197,1.41512,-0.36406,station,,,,667
none,7641,-459.11109715624127,14316.568920426853,7597.928669565216,0.99436,1.36881,-0.06009,station,,,,667
fixed_lapse,8383,5038.334607457991,9345.466893691571,6776.389280507892,0.80835,1.05585,0.60102,station,,,,669
none,8383,3882.856615082593,8115.8068527255455,6246.946530496427,0.74519,0.98393,0.46318,station,,,,669
fixed_lapse,8740,-1310.9297929792556,15541.663870481869,8762.746810907178,1.0026,1.3335,-0.14999,station,,,,670
none,8740,-15384.928173827822,42757.960538773004,16593.7770403553,1.8986,2.21184,-1.76029,station,,,,670
fixed_lapse,8734,-1488.1538637738977,18157.622064671654,9730.791071754496,1.11413,1.44186,-0.17039,station,,,,671
none,8734,-16939.610614540954,52577.9534931774,18775.939084158144,2.14975,2.45355,-1.9395,station,,,,671
fixed_lapse,8738,1426.4468674804275,5253.029704265399,4669.235277273976,0.53436,0.77535,0.16325,station,,,,672
none,8738,1233.5766249671426,5195.513545495459,4634.411542191322,0.53037,0.7711,0.14117,station,,,,672
fixed_lapse,8759,4184.174803175682,8534.351244048923,6545.461302075299,0.74728,0.98709,0.4777,station,,,,673
none,8759,4562.268827679413,8911.371767635233,6741.477047281818,0.76966,1.00866,0.52087,station,,,,673
fixed_lapse,8737,-9551.878871108864,31565.025296808915,12339.135394460933,1.41229,1.90074,-1.09327,station,,,,674
none,8737,10296.649725620322,33262.11798533794,14615.64471245119,1.67284,1.95116,1.17851,station,,,,674
fixed_lapse,8614,2914.6322291997094,11134.594213019718,7453.729845304576,0.8653,1.13693,0.33836,station,,,,675
none,8614,-164.66528246452071,10152.05032001827,6933.54099347301,0.80492,1.08561,-0.01912,station,,,,675
fixed_lapse,8738,-2265.122799178425,7199.912656117374,5712.724963089105,0.65378,0.90773,-0.25923,station,,,,676
none,8738,1166.6790784890634,6715.933078650556,5908.143350112361,0.67614,0.87669,0.13352,station,,,,676
fixed_lapse,8665,-332.6885291510696,17810.979572895256,9403.098155831824,1.08518,1.4337,-0.03839,station,,,,677
none,8665,-9769.601466905506,28733.156415819856,12395.180506720379,1.43049,1.82099,-1.12748,station,,,,677
fixed_lapse,8747,-6430.940965546701,33854.87360092533,11900.627441070505,1.36054,1.96735,-0.73522,station,,,,678
none,8747,-4703.437267900562,31759.13847934458,11728.254198266437,1.34083,1.90548,-0.53772,station,,,,678
fixed_lapse,8756,245.25282258989114,15629.441170681976,8136.400818041237,0.92924,1.33604,0.02801,station,,,,679
none,8756,7764.760530464909,22490.734974723775,10610.395415871904,1.21179,1.60269,0.88679,station,,,,679
fixed_lapse,8743,1814.82453312024,13894.927477228897,8403.251688434848,0.96114,1.26066,0.20757,station,,,,680
none,8743,-16207.085292493266,43489.58602700275,17361.611416505257,1.98577,2.2303,-1.85372,station,,,,680
