HOUR,METHOD,METRIC,N_STATIONS,SLOPE_C_PER_100M,INTERCEPT_C,R2,SPEARMAN_RHO,MEDIAN_C
0,none,MAE,513,0.11854956222451969,0.9124828263252379,0.20468248328635708,0.24288164859151787,0.9047580818075912
0,none,BIAS,513,0.15374876008003238,-0.2873697917040274,0.13109474815930866,0.1931528738284568,-0.1068544997136903
0,none,RMSE,513,0.13102403874942928,1.1541944971726341,0.21058117082317562,0.23424939922287108,1.144056120120445
0,fixed_lapse,MAE,513,0.07281886975918216,0.861008214720063,0.13527582335569333,0.18136461119524777,0.8583886699104178
0,fixed_lapse,BIAS,513,-0.08178400520925558,0.186145010557189,0.05589603057039594,-0.05982887939908088,0.0765063304518549
0,fixed_lapse,RMSE,513,0.09970671665817488,1.1097634717644649,0.16947566796886715,0.19045333208657803,1.1128351465810356
1,none,MAE,513,0.11578722742411175,0.9165115541737366,0.19630794650671335,0.24142863720386212,0.9067731793239044
1,none,BIAS,513,0.14712215943530824,-0.2752817005423379,0.12275306916421802,0.19043693271048318,-0.1031937570571739
1,none,RMSE,513,0.12854223204386997,1.1601302617597051,0.2011494841696918,0.23443139229904558,1.1562301797406207
1,fixed_lapse,MAE,513,0.07857589405425999,0.8663743635445798,0.14432488798548404,0.18388540418196808,0.878665334477209
1,fixed_lapse,BIAS,513,-0.08842674030275621,0.19803479833916177,0.06144726989918403,-0.06094905900469239,0.0970995172759408
1,fixed_lapse,RMSE,513,0.10711251598750175,1.116419859714352,0.17754742836588933,0.19461028504872335,1.134855913041201
2,none,MAE,513,0.11441541314723486,0.918251566274241,0.19188563286159865,0.23759473861795916,0.9011529113787636
2,none,BIAS,513,0.14177177916693928,-0.2664958962835782,0.1162764308053208,0.1906586131656623,-0.0946791779093557
2,none,RMSE,513,0.1274756322776834,1.1640285242976358,0.19609813009463983,0.22862792419987601,1.1570518908577296
2,fixed_lapse,MAE,513,0.08330100842577663,0.8693432487620223,0.15152862401287392,0.18097555932984316,0.8786772708490409
2,fixed_lapse,BIAS,513,-0.09376137864312616,0.2067640524390971,0.06619933624041896,-0.06283183182009118,0.0993744401569684
2,fixed_lapse,RMSE,513,0.11305765468713003,1.121703103532738,0.18397722962682117,0.18980997878481914,1.1368665398623157
3,none,MAE,513,0.11311437232978507,0.9184225795493849,0.18860749719667613,0.23824355837841632,0.8970773808728474
3,none,BIAS,513,0.13745160744495677,-0.2594294926984894,0.11158059820635235,0.1935457922134285,-0.0898998326667209
3,none,RMSE,513,0.1262812483885775,1.167368164770134,0.19191142627906033,0.2311569835387742,1.1559782562041812
3,fixed_lapse,MAE,513,0.08716452844630906,0.8698135622610531,0.1576882771768956,0.18382909521310042,0.8790971585458011
3,fixed_lapse,BIAS,513,-0.09815753984494084,0.21371090391124184,0.0703458523730518,-0.061997108021138767,0.1179151806685032
