"STN","NAME","ELEV_M","H06_BEFORE","H06_AFTER","H06_IMPROVEMENT","H15_BEFORE","H15_AFTER","H15_IMPROVEMENT","MIN_HOUR","MIN_C","MAX_HOUR","MAX_C","RANGE_C"
"964","마량","49.92","0.6200954078899467","0.6510947328477958","-0.030999324957849184","0.6020455829251798","0.5685670740775872","0.033478508847592625","2","-0.04006642211145195","10","0.09727854758745547","0.13734496969890742"
"519","사내","298.11","1.511043342266814","2.174826476171046","-0.6637831339042322","1.538398102897011","0.6502285428747177","0.8881695600222934","5","-0.6738651528015194","15","0.8881695600222934","1.5620347128238128"
"311","가야산","605.47","1.88014433024739","1.6405495926261036","0.23959473762128636","4.264436018638114","1.5273561935354094","2.737079825102705","6","0.23959473762128636","16","2.7529714177579026","2.5133766801366164"
"316","무등산","911.53","3.091902290680991","3.739420466285429","-0.6475181756044379","6.563610368015156","1.4906467859249009","5.072963582090255","6","-0.6475181756044379","15","5.072963582090255","5.720481757694692"
"869","영실","1260.2","1.406452537450867","0.9298600608772936","0.4765924765735734","1.2949919081395034","0.6366798478308843","0.6583120603086191","8","0.2498316624409127","18","0.7668405994126432","0.5170089369717304"
"867","삼각봉","1503.33","1.1378457296275877","1.1868277767136577","-0.04898204708607001","0.9177034239707854","0.6385110358503681","0.27919238812041736","23","-0.07685875694509292","15","0.27919238812041736","0.3560511450655103"
