METHOD,n,MAE,RMSE,BIAS,ERR_STD
none,67979.0,1.3750154915170283,1.8406673909234055,0.6847415490170284,1.708562394253876
fixed_lapse,67979.0,0.7992662578652722,1.0938050401130508,0.08410289603795242,1.0905669024203613
monthly_lapse,67979.0,0.8201197287311445,1.1128113139786717,0.154446927970419,1.1020413635428745
band_lapse,67979.0,0.8242287916000066,1.1255861339204019,0.15835353108229722,1.1143914501052332
